label,weight,height
1056,184.0,70.0
1057,60.0,51.0
1058,169.0,73.0
1060,146.0,70.0
1061,208.0,67.0
1062,141.0,70.0
1063,148.0,72.0
1064,190.0,73.0
1066,106.0,65.0
1068,158.0,69.0
1069,120.0,65.0
1070,143.0,68.0
1071,110.0,62.0
1072,150.0,71.0
1073,236.0,63.0
1074,164.0,71.0
1076,199.0,75.0
1077,141.0,66.0
1078,176.0,69.0
1080,125.0,69.0
1081,178.0,66.0
1082,145.0,68.0
1085,177.0,68.75
1086,173.0,71.0
1087,125.0,63.0
1088,159.0,62.0
1089,137.0,70.0
1091,204.0,75.0
1092,119.0,65.0
1093,244.0,68.0
1094,203.0,70.0
1095,132.0,64.0
1096,150.0,64.0
1098,193.0,69.0
1101,243.0,73.0
1102,192.0,70.0
1103,230.0,69.0
1104,207.0,71.0
1105,174.0,71.0
1106,158.0,66.0
1107,153.0,66.0
1108,137.0,66.0
1109,127.0,64.0
1110,130.0,70.0
1111,179.0,68.0
1113,152.0,58.0
1114,182.0,66.0
1117,219.5,66.5
1118,124.0,76.0
1120,205.0,64.0
1121,190.0,73.0
1122,118.0,65.0
1123,157.0,68.0
1124,101.0,60.0
1125,141.0,73.0
1126,104.0,62.0
1127,161.0,69.0
1128,138.0,72.0
1130,149.0,69.0
1131,164.0,68.0
1132,200.0,75.0
1133,83.0,61.0
1134,186.0,70.0
1135,147.0,68.0
1137,188.0,73.0
1138,127.0,68.0
1139,191.0,70.0
1142,112.0,63.0
1143,157.0,64.0
1145,136.0,65.0
1147,83.0,58.0
1148,247.0,72.0
1149,135.0,65.0
1150,174.0,69.0
1151,161.0,69.0
1152,166.0,68.0
1153,143.0,65.0
1154,178.0,68.0
1155,142.0,63.0
1156,79.0,58.0
1157,120.0,65.25
1158,123.0,67.0
1159,156.0,70.0
1160,162.0,65.0
1161,108.0,61.0
1163,192.0,73.0
1164,128.0,64.0
1165,130.0,65.0
1167,160.0,70.0
1168,135.0,65.0
1169,120.0,59.0
1170,142.0,65.0
1171,164.0,70.0
1172,189.0,67.0
1174,238.0,68.0
1175,162.0,69.0
1176,208.0,70.0
1177,132.0,64.0
1178,158.0,65.0
1179,121.0,64.0
1180,259.0,68.0
1182,124.0,63.0
1183,150.0,67.0
1184,198.0,70.0
1185,90.0,61.0
1186,107.0,61.0
1187,88.0,63.0
1189,150.0,68.0
1190,166.0,71.0
1191,173.0,71.0
1192,166.0,64.0
1193,111.0,61.0
1194,183.0,67.0
1195,208.0,61.0
1196,108.0,64.0
1197,136.0,64.0
1198,162.0,66.0
1200,141.0,65.0
1201,264.0,74.0
1202,175.0,68.0
1205,152.0,70.0
1206,117.0,61.0
1207,174.0,73.0
1208,177.0,67.0
1209,140.0,64.0
1211,163.51,66.0
1212,147.0,68.0
1213,144.0,61.0
1215,25.0,61.0
1216,190.0,69.0
1217,131.0,65.0
1219,160.0,68.0
1220,164.0,63.0
1221,118.5,69.0
1224,179.0,67.0
1226,125.0,63.0
1228,192.0,69.0
1230,160.0,68.0
1232,164.0,63.5
1233,186.0,69.0
1234,154.5,65.0
1235,187.0,69.0
1236,174.0,69.0
1237,166.0,68.0
1238,131.0,65.0
1240,118.0,67.0
1241,126.5,61.75
1242,239.0,91.0
1243,124.0,64.0
1244,179.0,67.0
1246,141.0,66.0
1247,154.0,62.0
1248,159.0,67.0
1249,130.0,64.0
1250,182.0,65.0
1254,112.0,68.0
1255,212.0,73.0
1256,157.5,68.5
1257,118.0,67.0
1258,126.5,61.75
1261,139.0,65.0
1262,110.5,59.0
1264,180.2,66.0
1265,126.0,67.0
1266,175.8,61.0
1268,139.0,63.0
1269,167.0,69.0
1270,159.0,67.0
1271,243.6,64.5
1272,164.5,72.0
1274,182.0,72.5
1276,160.0,67.0
1280,181.0,68.5
1283,129.5,67.0
1285,101.0,63.0
1286,123.0,58.0
1288,228.0,65.0
1289,148.5,68.0
1294,172.0,71.5
1295,193.5,72.0
1296,128.5,66.0
1298,129.0,66.0
1300,108.0,49.0
1301,132.0,65.0
1302,160.0,67.0
1303,125.5,70.0
1305,145.0,71.0
1307,163.0,64.5
1308,197.0,70.0
1309,141.0,64.0
1310,124.0,71.5
1311,205.0,69.0
1312,127.0,64.0
1313,130.0,66.0
1314,157.5,69.0
1315,118.0,62.0
1316,214.0,64.5
1317,126.0,65.5
1320,150.01,65.0
1321,125.0,61.0
1322,215.5,73.0
1323,165.4,63.5
1324,182.5,68.0
1326,172.0,71.5
1327,128.0,63.0
1328,125.5,64.0
1329,151.0,65.0
1331,122.0,66.5
1333,125.5,70.0
1334,210.5,70.0
1335,232.0,74.5
1336,125.0,62.75
1337,123.0,66.0
1338,202.0,66.0
1339,103.0,63.0
1341,94.0,63.0
1342,142.0,64.0
1343,134.0,68.0
1344,193.0,66.0
1345,150.0,68.0
1346,141.0,64.0
1349,162.0,64.0
1350,121.0,60.0
1352,132.5,61.0
1353,161.5,67.0
1354,243.0,69.0
1355,174.5,68.0
